points_count,threads_count,nanoseconds
700000000,4,512937349
700000000,4,491950275
700000000,4,491118423
700000000,4,490525407
700000000,5,395585223
700000000,5,397663131
700000000,5,398273449
700000000,5,396873837
700000000,5,397795397
700000000,5,400540430
700000000,5,433049093
700000000,5,522528486
700000000,5,761082410
700000000,5,759612417
700000000,6,643342221
700000000,6,632330251
700000000,6,632856313
700000000,6,636117679
700000000,6,633116519
700000000,6,636201946
700000000,6,632945189
700000000,6,636333031
700000000,6,647626014
700000000,6,633063069
700000000,7,749515856
700000000,7,751830625
700000000,7,748177679
700000000,7,749841924
700000000,7,743025705
700000000,7,745006702
700000000,7,748343589
700000000,7,742418693
700000000,7,745688564
700000000,7,753853461
700000000,8,656584421
700000000,8,662191905
700000000,8,658188184
700000000,8,656216404
700000000,8,345479002
700000000,8,349526415
700000000,8,347137367
700000000,8,348043487
700000000,8,350812024
700000000,8,344892247
700000000,9,334808129
700000000,9,330237681
700000000,9,339899550
700000000,9,322444158
700000000,9,323646431
700000000,9,339092625
700000000,9,323531698
700000000,9,322331749
700000000,9,346757358
700000000,9,336519533
700000000,10,311371256
700000000,10,319773233
700000000,10,319139983
700000000,10,319240980
700000000,10,315855803
700000000,10,321646359
700000000,10,320571895
700000000,10,315021257
700000000,10,318241897
700000000,10,320833181
700000000,11,296615500
700000000,11,514932702
700000000,11,542558192
700000000,11,542236312
700000000,11,536773818
700000000,11,542731666
700000000,11,537676923
700000000,11,543347005
700000000,11,539297848
700000000,11,540642998
700000000,12,645424215
700000000,12,561730609
700000000,12,500022017
700000000,12,502521842
700000000,12,526054185
700000000,12,502027089
700000000,12,510712928
700000000,12,504324787
700000000,12,513597090
700000000,12,510113559
800000000,2,2155065516
800000000,2,2158699808
800000000,2,2158762785
800000000,2,2157777216
800000000,2,2159887323
800000000,2,2167722324
800000000,2,2155651390
800000000,2,2156036528
800000000,2,2156389206
800000000,2,2157231178
800000000,3,1458079714
800000000,3,1449362036
800000000,3,1444402822
800000000,3,1442967634
800000000,3,1445367282
800000000,3,1452159146
800000000,3,1437939661
800000000,3,1443801409
800000000,3,1437107589
800000000,3,1439274682
800000000,4,1087012092
800000000,4,1084694888
800000000,4,1078311256
800000000,4,1089974290
800000000,4,1084678488
800000000,4,1079067908
800000000,4,1079453998
800000000,4,830852665
800000000,4,565261017
800000000,4,559760061
800000000,5,452971539
800000000,5,452492896
800000000,5,454524797
800000000,5,454101107
800000000,5,458853104
800000000,5,456239788
800000000,5,454865193
800000000,5,454695015
800000000,5,453991663
800000000,5,456056505
800000000,6,422555691
800000000,6,387429394
800000000,6,388437384
800000000,6,390216735
800000000,6,385972465
800000000,6,383269090
800000000,6,391392739
800000000,6,436214780
800000000,6,730675900
800000000,6,749516387
800000000,7,844813526
800000000,7,854751211
800000000,7,850833962
800000000,7,855943977
800000000,7,847976929
800000000,7,857662944
800000000,7,760572208
800000000,7,854774173
800000000,7,859717067
800000000,7,855529232
800000000,8,743752151
800000000,8,750419693
800000000,8,748210941
800000000,8,748335413
800000000,8,746462739
800000000,8,750847140
800000000,8,744803102
800000000,8,745687462
800000000,8,752400198
800000000,8,747746855
800000000,9,694269574
800000000,9,686228268
800000000,9,697253532
800000000,9,689509161
800000000,9,698390553
800000000,9,673541414
800000000,9,685560573
800000000,9,706984401
800000000,9,678045759
800000000,9,684191618
800000000,10,657188127
800000000,10,657275701
800000000,10,655414067
800000000,10,655660527
800000000,10,661291585
800000000,10,657414069
800000000,10,662218304
800000000,10,655805337
800000000,10,662466407
800000000,10,660116402
800000000,11,613779585
800000000,11,617575548
800000000,11,625294372
800000000,11,616891072
800000000,11,617454473
800000000,11,620497231
800000000,11,619466267
800000000,11,615279444
800000000,11,614822701
800000000,11,612514665
800000000,12,593533595
800000000,12,601786606
800000000,12,567936619
800000000,12,580203139
800000000,12,570392622
800000000,12,568833924
800000000,12,577453809
800000000,12,568707058
800000000,12,603664039
800000000,12,580873731
900000000,2,2423127193
900000000,2,1273688290
900000000,2,1257800412
900000000,2,1259387824
900000000,2,1256667528
900000000,2,1257193580
900000000,2,1256671675
900000000,2,1255877343
900000000,2,1260342295
900000000,2,1255716213
900000000,3,844810020
900000000,3,845204647
900000000,3,836878860
900000000,3,837043768
900000000,3,836839156
900000000,3,837343337
900000000,3,837401816
900000000,3,840168329
900000000,3,1488583566
900000000,3,1616150613
900000000,4,1218940748
900000000,4,1218690651
900000000,4,1219777409
900000000,4,1220851333
900000000,4,1217423016
900000000,4,1220131520
900000000,4,1218945397
900000000,4,1218348943
900000000,4,1217919512
900000000,4,1219119051
900000000,5,974673402
900000000,5,976076760
900000000,5,977019751
900000000,5,986228545
900000000,5,976305778
900000000,5,976688712
900000000,5,975938122
900000000,5,972853416
900000000,5,974137823
900000000,5,982832147
900000000,6,823775228
900000000,6,816456972
900000000,6,840540432
900000000,6,820176773
900000000,6,813417600
900000000,6,812879225
900000000,6,816734219
900000000,6,813052069
900000000,6,813422700
900000000,6,820977548
900000000,7,951067001
900000000,7,951110182
900000000,7,957880055
900000000,7,522661073
900000000,7,500346874
900000000,7,501530613
900000000,7,506660615
900000000,7,504608546
900000000,7,510706044
900000000,7,505430731
900000000,8,444681149
900000000,8,442980986
900000000,8,444367683
900000000,8,449810219
900000000,8,446664761
900000000,8,445006165
900000000,8,450311164
900000000,8,450377117
900000000,8,447060048
900000000,8,449329052
900000000,9,421431293
900000000,9,421258461
900000000,9,471717670
900000000,9,760356265
900000000,9,780447696
900000000,9,770063870
900000000,9,765502218
900000000,9,760397151
900000000,9,757860297
900000000,9,750698663
900000000,10,737528817
900000000,10,739832026
900000000,10,738913502
900000000,10,737935527
900000000,10,739094519
900000000,10,743340993
900000000,10,743417105
900000000,10,738213004
900000000,10,735341446
900000000,10,747266770
900000000,11,700683893
900000000,11,692299046
900000000,11,690789249
900000000,11,691537786
900000000,11,701268885
900000000,11,687492097
900000000,11,699327773
900000000,11,697977112
900000000,11,690243090
900000000,11,700673173
900000000,12,648026030
900000000,12,639569500
900000000,12,654066433
900000000,12,657122305
900000000,12,643993435
900000000,12,637379213
900000000,12,651299579
900000000,12,650457518
900000000,12,640545231
900000000,12,649876975
1000000000,2,2695145825
1000000000,2,2695783485
1000000000,2,2693956285
1000000000,2,2694625343
1000000000,2,2694190953
1000000000,2,2697822610
1000000000,2,2698760910
1000000000,2,1397647815
1000000000,2,1396370511
1000000000,2,1395568374
1000000000,3,932969611
1000000000,3,933134148
1000000000,3,934220275
1000000000,3,933146030
1000000000,3,934266110
1000000000,3,933642816
1000000000,3,934677638
1000000000,3,933305848
1000000000,3,936870800
1000000000,3,935086992
1000000000,4,723794679
1000000000,4,725691268
1000000000,4,724719846
1000000000,4,727045636
1000000000,4,724779897
1000000000,4,722923824
1000000000,4,724122521
1000000000,4,869570013
1000000000,4,1346139758
1000000000,4,1353629815
1000000000,5,1083120210
1000000000,5,1080739207
1000000000,5,1081849448
1000000000,5,1082568691
1000000000,5,1118330503
1000000000,5,1088298823
1000000000,5,1084926150
1000000000,5,1084445302
1000000000,5,1086650407
1000000000,5,1083824233
1000000000,6,925953939
1000000000,6,904920890
1000000000,6,905295389
1000000000,6,919338524
1000000000,6,912760870
1000000000,6,901337483
1000000000,6,905883697
1000000000,6,906975203
1000000000,6,905140530
1000000000,6,904572971
1000000000,7,1068377860
1000000000,7,1068848778
1000000000,7,1058584184
1000000000,7,1055976578
1000000000,7,1057026757
1000000000,7,1054996890
1000000000,7,1057383083
1000000000,7,1062072333
1000000000,7,1066884483
1000000000,7,1064703673
1000000000,8,924603920
1000000000,8,930899929
1000000000,8,924549799
1000000000,8,500172679
1000000000,8,491234169
1000000000,8,495823453
1000000000,8,493498064
1000000000,8,493305354
1000000000,8,493333396
1000000000,8,497577987
1000000000,9,464928571
1000000000,9,450706412
1000000000,9,462211171
1000000000,9,468257162
1000000000,9,467945601
1000000000,9,468979686
1000000000,9,461070483
1000000000,9,466521815
1000000000,9,474904214
1000000000,9,461789727
1000000000,10,444248303
1000000000,10,471367790
1000000000,10,810925132
1000000000,10,825192691
1000000000,10,820819765
1000000000,10,818206284
1000000000,10,819990023
1000000000,10,824065802
1000000000,10,824691850
1000000000,10,821201251
1000000000,11,769498420
1000000000,11,775657750
1000000000,11,777168169
1000000000,11,769949940
